"","...1","respID","qID","altID","obsID","value","penalty","accessibility","incentive_cash","incentive_grocery_store","incentive_internet","incentive_sport_tickets","outsideGood","incentive_label","penalty_label","accessibility_label","no_vaccine_label"
"109",55,6,5,1,55,1000,1000,0,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",NA
"110",10055,6,5,2,55,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"111",56,6,6,1,56,100,0,3,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"112",10056,6,6,2,56,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"113",57,6,7,1,57,1000,0,0,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"114",10057,6,7,2,57,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"115",58,6,8,1,58,50,0,3,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"116",10058,6,8,2,58,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"117",59,6,9,1,59,0,0,3,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"118",10059,6,9,2,59,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"119",60,6,10,1,60,50,0,0,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"120",10060,6,10,2,60,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"121",61,7,1,1,61,300,0,1,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"122",10061,7,1,2,61,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"123",62,7,2,1,62,100,0,10,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"124",10062,7,2,2,62,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"125",63,7,3,1,63,1000,300,10,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"126",10063,7,3,2,63,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"127",64,7,4,1,64,500,0,10,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"128",10064,7,4,2,64,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"129",65,7,5,1,65,0,0,0,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"130",10065,7,5,2,65,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"131",66,7,6,1,66,100,0,10,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"132",10066,7,6,2,66,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"133",67,7,7,1,67,50,0,3,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"134",10067,7,7,2,67,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"135",68,7,8,1,68,0,0,1,0,0,1,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"136",10068,7,8,2,68,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"137",69,7,9,1,69,50,0,0,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"138",10069,7,9,2,69,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"139",70,7,10,1,70,50,500,0,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",NA
"140",10070,7,10,2,70,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"141",71,8,1,1,71,50,300,3,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"142",10071,8,1,2,71,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"143",72,8,2,1,72,500,0,3,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"144",10072,8,2,2,72,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"145",73,8,3,1,73,300,0,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"146",10073,8,3,2,73,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"147",74,8,4,1,74,50,0,1,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"148",10074,8,4,2,74,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"149",75,8,5,1,75,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"150",10075,8,5,2,75,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"151",76,8,6,1,76,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"152",10076,8,6,2,76,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"153",77,8,7,1,77,200,0,1,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"154",10077,8,7,2,77,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"155",78,8,8,1,78,300,0,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"156",10078,8,8,2,78,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"157",79,8,9,1,79,300,300,0,1,0,0,0,0,"$300 in cash","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",NA
"158",10079,8,9,2,79,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"159",80,8,10,1,80,300,0,0,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"160",10080,8,10,2,80,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"161",81,9,1,1,81,100,1000,0,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",NA
"162",10081,9,1,2,81,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"163",82,9,2,1,82,200,500,3,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"164",10082,9,2,2,82,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"165",83,9,3,1,83,200,100,0,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",NA
"166",10083,9,3,2,83,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"167",84,9,4,1,84,0,300,3,0,0,0,1,0,"No incentives for compliance","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"168",10084,9,4,2,84,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"169",85,9,5,1,85,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"170",10085,9,5,2,85,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"171",86,9,6,1,86,300,100,1,1,0,0,0,0,"$300 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"172",10086,9,6,2,86,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"173",87,9,7,1,87,1000,1000,10,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"174",10087,9,7,2,87,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"175",88,9,8,1,88,500,50,3,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"176",10088,9,8,2,88,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"177",89,9,9,1,89,100,500,1,1,0,0,0,0,"$100 in cash","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"178",10089,9,9,2,89,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"179",90,9,10,1,90,1000,200,1,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"180",10090,9,10,2,90,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"181",91,10,1,1,91,500,50,0,1,0,0,0,0,"$500 in cash","Vaccine mandated, $50 fine for non-compliance","Door-door vaccinations",NA
"182",10091,10,1,2,91,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"183",92,10,2,1,92,0,50,3,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"184",10092,10,2,2,92,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"185",93,10,3,1,93,100,100,0,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",NA
"186",10093,10,3,2,93,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"187",94,10,4,1,94,500,300,10,1,0,0,0,0,"$500 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"188",10094,10,4,2,94,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"189",95,10,5,1,95,300,0,3,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"190",10095,10,5,2,95,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"191",96,10,6,1,96,50,300,10,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"192",10096,10,6,2,96,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"193",97,10,7,1,97,500,0,10,1,0,0,0,0,"$500 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"194",10097,10,7,2,97,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"195",98,10,8,1,98,1000,0,10,1,0,0,0,0,"$1000 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
