"","respID","qID","altID","obsID","value","penalty","accessibility","incentive_cash","incentive_grocery_store","incentive_internet","incentive_sport_tickets","outsideGood","incentive_label","penalty_label","accessibility_label","no_vaccine_label"
"61",8,5,1,61,1000,1000,1,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8061",8,5,2,61,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"62",8,6,1,62,1000,200,1,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8062",8,6,2,62,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"63",8,7,1,63,200,100,3,1,0,0,0,0,"$200 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8063",8,7,2,63,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"64",8,8,1,64,300,50,3,1,0,0,0,0,"$300 in cash","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8064",8,8,2,64,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"65",9,1,1,65,100,100,1,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8065",9,1,2,65,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"66",9,2,1,66,1000,500,3,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8066",9,2,2,66,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"67",9,3,1,67,50,100,0,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8067",9,3,2,67,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"68",9,4,1,68,500,0,0,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8068",9,4,2,68,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"69",9,5,1,69,0,0,0,0,1,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8069",9,5,2,69,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"70",9,6,1,70,300,0,0,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8070",9,6,2,70,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"71",9,7,1,71,100,500,3,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8071",9,7,2,71,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"72",9,8,1,72,200,50,1,1,0,0,0,0,"$200 in cash","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8072",9,8,2,72,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"73",10,1,1,73,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8073",10,1,2,73,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"74",10,2,1,74,500,0,1,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8074",10,2,2,74,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"75",10,3,1,75,300,0,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8075",10,3,2,75,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"76",10,4,1,76,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8076",10,4,2,76,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"77",10,5,1,77,500,0,1,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8077",10,5,2,77,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"78",10,6,1,78,300,0,10,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8078",10,6,2,78,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"79",10,7,1,79,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8079",10,7,2,79,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"80",10,8,1,80,200,1000,3,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8080",10,8,2,80,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"81",11,1,1,81,300,0,10,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8081",11,1,2,81,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"82",11,2,1,82,1000,300,0,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8082",11,2,2,82,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"83",11,3,1,83,1000,0,0,1,0,0,0,0,"$1000 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8083",11,3,2,83,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"84",11,4,1,84,200,300,1,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8084",11,4,2,84,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"85",11,5,1,85,50,1000,10,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8085",11,5,2,85,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"86",11,6,1,86,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8086",11,6,2,86,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"87",11,7,1,87,0,100,0,0,0,0,1,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8087",11,7,2,87,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"88",11,8,1,88,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8088",11,8,2,88,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"89",12,1,1,89,200,0,3,1,0,0,0,0,"$200 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8089",12,1,2,89,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"90",12,2,1,90,0,200,3,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8090",12,2,2,90,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"91",12,3,1,91,1000,1000,1,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8091",12,3,2,91,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"92",12,4,1,92,200,100,1,1,0,0,0,0,"$200 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8092",12,4,2,92,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"93",12,5,1,93,300,50,10,1,0,0,0,0,"$300 in cash","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8093",12,5,2,93,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"94",12,6,1,94,0,1000,0,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",""
"8094",12,6,2,94,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"95",12,7,1,95,500,500,1,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8095",12,7,2,95,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"96",12,8,1,96,200,300,0,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8096",12,8,2,96,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"97",13,1,1,97,100,300,0,1,0,0,0,0,"$100 in cash","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8097",13,1,2,97,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"98",13,2,1,98,300,200,0,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $200 fine for non-compliance","Door-door vaccinations",""
"8098",13,2,2,98,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"99",13,3,1,99,500,100,0,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8099",13,3,2,99,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"100",13,4,1,100,500,0,10,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8100",13,4,2,100,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"101",13,5,1,101,0,50,1,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8101",13,5,2,101,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"102",13,6,1,102,1000,0,3,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8102",13,6,2,102,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"103",13,7,1,103,500,0,0,1,0,0,0,0,"$500 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8103",13,7,2,103,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"104",13,8,1,104,100,500,0,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",""
"8104",13,8,2,104,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"105",14,1,1,105,1000,50,0,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $50 fine for non-compliance","Door-door vaccinations",""
"8105",14,1,2,105,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"106",14,2,1,106,50,0,3,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8106",14,2,2,106,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"107",14,3,1,107,500,100,1,1,0,0,0,0,"$500 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8107",14,3,2,107,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
